,distance,journal_entropy,kw_entroy,oecd_entroy,path,topic_id,wc_entropy,wg_entropy,topic__title
70,58.564415503669245,-2804.4734925454013,-51922.02099381632,-3285.5176358539934,4.265034965034965,11747,-3005.4861749077695,-2917.47003401005,"{flood, flooding, damage}"
71,24.33759936538023,-1958.8339322623337,-34199.567148346156,-2107.167428902159,4.290834613415258,11748,-2032.3075334016821,-2145.670975006679,"{uncertainty, estimate, projection}"
72,3.513056776809894,-2593.7567496551937,-48421.28793391527,-2999.940997463309,4.2063492063492065,11749,-2839.1308515733954,-2684.572581341924,"{urban, urbanization, rural}"
73,59.15437065652304,-0.0,-10271.194651791113,-339.64211847437383,3.1576923076923076,11750,-0.0,-59.27085945456446,"{coral, reef, bleaching}"
74,47.623193975949654,-3980.051110774975,-92874.44274719521,-4057.6835949976885,3.645117845117845,11755,-4016.094764164089,-4139.1622662969385,"{fire, burn, wildfire}"
75,37.1598055155831,-2369.177063153789,-50572.99192356656,-2639.504463572163,4.099797707349966,11759,-2478.694317682252,-2437.1325889154173,"{community, diversity, composition}"
76,36.861878084617985,-474.1126715030036,-8775.745716363264,-644.6268779207503,4.575977428456268,11761,-544.8136839201181,-517.7944949116585,"{policy, government, target}"
77,50.210642664200535,-0.0,-7355.092118950024,-38.81624211135692,3.7550482879719054,11762,-0.0,-71.25136262763564,"{glacier, mass, balance}"
78,64.95036895155033,-3831.7176141351574,-77603.36590766198,-3992.5277600250583,3.820634920634921,11768,-3937.0759855802607,-4006.5562486411004,"{crop, yield, wheat}"
79,99.70082017683228,-700.0786523655463,-11128.028755310674,-756.916721171462,3.6637458926615554,11771,-726.4182452268243,-753.8043343756314,"{extreme, event, weather}"
80,108.83443493966504,-4086.795776581197,-97267.0238164272,-4411.188657083335,3.6684294024325754,11772,-4208.789680359775,-4149.885721045548,"{population, genetic, variation}"
81,89.53948559121199,-1888.132919845225,-42231.170915514915,-2053.1019488184843,3.8156455142231946,11774,-1961.6065209845733,-1901.9958634564236,"{growth, rate, radial}"
82,296.2835089827074,-0.0,-58.22436316703534,-1.3862943611198906,4.166666666666667,11788,-0.0,-3.295836866004329,"{increase, decrease, concentration}"
83,123.28584094850676,-2582.666394766236,-49439.1677930514,-2783.6790771286164,4.176732123008522,11778,-2664.457762072303,-2693.597045722581,"{river, flow, discharge}"
84,187.10489861048376,-845.6395602831352,-15880.354233497097,-888.6146854778519,3.667802385008518,11780,-860.888798255454,-849.7984433664949,"{flux, measurement, surface}"
85,151.91933237064313,-241.21521883486136,-5183.829924634632,-241.21521883486136,3.6728624535315983,11799,-241.21521883486136,-241.21521883486136,"{soil, content, microbial}"
86,234.42317539379624,-0.0,-5353.854249372582,-70.70101241711436,4.762257169287697,11800,-0.0,-24.61350042656724,"{water, irrigation, deep}"
87,149.054964827044,-1.3862943611198906,-9569.512888530237,-95.65431091727245,4.184180790960452,11802,-2.772588722239781,-100.52908921599402,"{temperature, air, mean}"
88,189.74758251894897,-0.0,-23.56700413903814,-0.0,4.0,11803,-0.0,-0.0,"{change, shift, response}"
89,75.50151047541931,-2791.996843295322,-38072.3982849029,-2923.6948076017106,3.465891062929667,11760,-2840.5171459345142,-3784.3394751983888,"{cloud, aerosol, radiative}"
90,88.48506929730547,-1.3862943611198906,-5694.997334872304,-47.134008278076244,4.540920716112532,11706,-1.3862943611198906,-1.3862943611198906,"{farmer, household, farm}"
91,169.67074369779453,-0.0,-2531.7466679422823,-23.56700413903814,3.4154589371980677,11709,-0.0,-0.0,"{membrane, separation, selectivity}"
92,195.9681875581526,-1.3862943611198906,-2560.6753994556216,-16.635532333438686,3.922222222222222,11729,-1.3862943611198906,-1.3862943611198906,"{warm, warming, response}"
93,205.3116245733506,-0.0,-2698.101991276655,-33.27106466687737,4.611688311688312,11791,-0.0,-19.931369199443015,"{carbon, sink, net}"
94,68.99209633929335,-1.3862943611198906,-8587.357722379602,-44.36141955583647,3.673836698858648,11792,-1.3862943611198906,-120.88738302340289,"{precipitation, annual, region}"
95,152.32725910971666,-1.3862943611198906,-16246.734166960314,-214.87562597358337,4.314207650273224,11787,-1.3862943611198906,-30.681926014811346,"{lake, diatom, level}"
96,74.34355311445617,-1.3862943611198906,-4636.535510329391,-146.94720227870855,5.3584905660377355,11789,-1.3862943611198906,-16.888203872654394,"{system, power, solar}"
97,49.2192291299888,-3382.5582411323485,-77868.46082664507,-3469.894785882901,3.629610655737705,11790,-3425.5333663270617,-3404.7389509102654,"{tree, ring, stand}"
98,90.31733683156655,-1.3862943611198906,-1339.452211178994,-11.090354888959125,3.586206896551724,11757,-1.3862943611198906,-1.3862943611198906,"{habitat, conservation, biodiversity}"
99,41.696587596656364,-3269.588801734467,-55142.71104184829,-3514.962903652679,4.385098039215686,11801,-3420.694887096523,-3599.9479639548554,"{emission, greenhouse-gas, reduction}"
