dis_share,doctopic__doc__wc__oecd,primary_wg,title
4.34054049158504,Medical and Health Sciences,2,"{site, elevation, high}"
1.09305204666862,Medical and Health Sciences,1,"{snow, cover, winter}"
0.602333243817857,Medical and Health Sciences,3,"{soc, stock, soil}"
1.29444525933639,Medical and Health Sciences,2,"{soil, moisture, microbial}"
1.51743681573883,Medical and Health Sciences,1,"{solar, radiation, irradiance}"
7.80089972702721,Medical and Health Sciences,2,"{specie, distribution, habitat}"
1.97454544643252,Medical and Health Sciences,2,"{storage, reservoir, injection}"
4.73431732613268,Medical and Health Sciences,2,"{system, performance, design}"
10.4126024307023,Medical and Health Sciences,1,"{temperature, warm, air}"
1.64818184547986,Medical and Health Sciences,2,"{tree, ring, stand}"
3.57713544213231,Medical and Health Sciences,1,"{trend, station, significant}"
4.5521722551754,Medical and Health Sciences,1,"{uncertainty, estimate, projection}"
6.11981477866338,Medical and Health Sciences,2,"{urban, city, urbanization}"
1.64669739039997,Medical and Health Sciences,2,"{vegetation, ndvi, index}"
2.59442866806302,Medical and Health Sciences,3,"{vehicle, electric, transport}"
2.99879829265096,Medical and Health Sciences,3,"{waste, landfill, treatment}"
3.82368327575307,Medical and Health Sciences,2,"{water, resource, irrigation}"
1.24507648147265,Medical and Health Sciences,2,"{wetland, marsh, habitat}"
1.8038869574843,Medical and Health Sciences,1,"{wind, speed, turbine}"
9.20097456406427,Medical and Health Sciences,1,"{year, season, period}"
224.354251885902,Natural Sciences,2,"{adaptation, vulnerability, farmer}"
173.869152252382,Natural Sciences,2,"{adsorption, capacity, adsorbent}"
199.348418549036,Natural Sciences,1,"{aerosol, forcing, radiative}"
319.806277281559,Natural Sciences,1,"{arctic, warm, tundra}"
476.263761910691,Natural Sciences,2,"{area, region, distribution}"
96.9024911658273,Natural Sciences,3,"{biochar, application, amendment}"
180.419803238504,Natural Sciences,2,"{biomass, aboveground, bioenergy}"
101.200025086336,Natural Sciences,2,"{building, design, construction}"
200.75929348788,Natural Sciences,1,"{cal, pollen, holocene}"
249.246541080192,Natural Sciences,3,"{carbon, low, sink}"
187.062331289524,Natural Sciences,3,"{cement, material, concrete}"
150.187125918132,Natural Sciences,1,"{ch4, oxidation, emission}"
467.981930548047,Natural Sciences,2,"{change, climatic, response}"
294.488096093579,Natural Sciences,2,"{china, province, chinese}"
414.073878756268,Natural Sciences,1,"{climate, future, global}"
209.567160820883,Natural Sciences,1,"{cloud, feedback, radiative}"
306.599298727012,Natural Sciences,1,"{co2, mol, concentration}"
70.4354467905955,Natural Sciences,3,"{coal, combustion, technology}"
267.043195854045,Natural Sciences,2,"{community, microbial, composition}"
218.371996017514,Natural Sciences,2,"{coral, reef, bleaching}"
154.061955969463,Natural Sciences,3,"{cost, price, technology}"
207.621613412587,Natural Sciences,3,"{country, develop, international}"
161.425719687378,Natural Sciences,2,"{crop, yield, wheat}"
415.151694738679,Natural Sciences,1,"{data, use, satellite}"
447.886124915011,Natural Sciences,1,"{degree, day, latitude}"
