,WG,period,score,topic_id,topic_title,tpsum,share,tscore
1002,1,AR4,3.83996617839518,9151,"{drought, sever, stress}",11.740345904178488,0.3270743647364345,444.14283117989004
1003,2,AR4,7.59895811297187,9151,"{drought, sever, stress}",11.740345904178488,0.6472516376427492,444.14283117989004
1004,3,AR4,0.301421612811438,9151,"{drought, sever, stress}",11.740345904178488,0.025673997620816225,444.14283117989004
1005,1,AR4,1.33457250701978,9206,"{tree, stand, pine}",5.935816424481026,0.2248338579871872,547.871383316668
1006,2,AR4,4.25450118859304,9206,"{tree, stand, pine}",5.935816424481026,0.7167508029807399,547.871383316668
1007,3,AR4,0.346742728868206,9206,"{tree, stand, pine}",5.935816424481026,0.058415339032072924,547.871383316668
1008,1,AR4,3.00951470541579,9154,"{fire, burn, wildfir}",11.137358873878682,0.2702179878996483,424.107204972224
1009,2,AR4,7.062536775831322,9154,"{fire, burn, wildfir}",11.137358873878682,0.6341303046627724,424.107204972224
1010,3,AR4,1.06530739263157,9154,"{fire, burn, wildfir}",11.137358873878682,0.09565170743757916,424.107204972224
1011,1,AR4,2.67873520884594,9207,"{communiti, microbi, composit}",9.607094711940649,0.2788288540047953,430.30918565850305
1012,2,AR4,5.97901110024274,9207,"{communiti, microbi, composit}",9.607094711940649,0.6223537166560286,430.30918565850305
1013,3,AR4,0.949348402851968,9207,"{communiti, microbi, composit}",9.607094711940649,0.09881742933917616,430.30918565850305
1014,1,AR4,2.6947396957636203,9153,"{organ, matter, doc}",7.27096426069722,0.3706165508651832,418.612636350305
1015,2,AR4,3.28480747679662,9153,"{organ, matter, doc}",7.27096426069722,0.4517705436337321,418.612636350305
1016,3,AR4,1.29141708813698,9153,"{organ, matter, doc}",7.27096426069722,0.17761290550108474,418.612636350305
1017,1,AR4,29.4779898833503,9200,"{model, predict, use}",48.133946608114435,0.6124158096436018,1762.0600102374399
1018,2,AR4,15.498157403162699,9200,"{model, predict, use}",48.133946608114435,0.3219797771693629,1762.0600102374399
1019,3,AR4,3.1577993216014395,9200,"{model, predict, use}",48.133946608114435,0.06560441318703537,1762.0600102374399
1020,1,AR4,6.98435746210122,9146,"{degre, day, rang}",12.89010861025591,0.5418385269883741,498.65745269399
1021,2,AR4,5.49033361253367,9146,"{degre, day, rang}",12.89010861025591,0.4259338519588059,498.65745269399
1022,3,AR4,0.415417535621019,9146,"{degre, day, rang}",12.89010861025591,0.03222762105281995,498.65745269399
1023,1,AR4,3.0829317443631803,9212,"{runoff, hydrolog, flow}",8.965236608164833,0.3438762276006735,166.977928025019
1024,2,AR4,5.47540572382523,9212,"{runoff, hydrolog, flow}",8.965236608164833,0.6107374476696645,166.977928025019
1025,3,AR4,0.406899139976423,9212,"{runoff, hydrolog, flow}",8.965236608164833,0.04538632472966205,166.977928025019
1026,1,AR4,1.5684559581766495,9155,"{diseas, health, human}",15.139616180030641,0.10359945321767564,614.222613281439
1027,2,AR4,11.951771359735401,9155,"{diseas, health, human}",15.139616180030641,0.7894368798794219,614.222613281439
1028,3,AR4,1.61938886211859,9155,"{diseas, health, human}",15.139616180030641,0.10696366690290246,614.222613281439
1029,1,AR4,5.951659292561541,9204,"{water, irrig, resourc}",16.158220321772355,0.3683363126656957,1036.63009879484
1030,2,AR4,9.69014878494239,9204,"{water, irrig, resourc}",16.158220321772355,0.5997039644202291,1036.63009879484
1031,3,AR4,0.516412244268424,9204,"{water, irrig, resourc}",16.158220321772355,0.031959722914075235,1036.63009879484
1032,1,AR4,7.9077030579230305,9162,"{rainfal, monsoon, rain}",16.61261481940449,0.4760059234435736,504.182375525448
1033,2,AR4,8.461797965363811,9162,"{rainfal, monsoon, rain}",16.61261481940449,0.5093597881701286,504.182375525448
1034,3,AR4,0.24311379611765105,9162,"{rainfal, monsoon, rain}",16.61261481940449,0.01463428838629787,504.182375525448
1035,1,AR4,1.22215223568733,9210,"{plant, seed, leaf}",6.278009719395231,0.19467192475214293,705.395644692442
1036,2,AR4,4.22602794692057,9210,"{plant, seed, leaf}",6.278009719395231,0.6731477228945211,705.395644692442
1037,3,AR4,0.82982953678733,9210,"{plant, seed, leaf}",6.278009719395231,0.13218035235333608,705.395644692442
1038,1,AR4,2.70205422357578,9158,"{reaction, catalyst, hydrogen}",5.46926002804843,0.4940438395173434,747.338442560262
1039,2,AR4,1.61098807600475,9158,"{reaction, catalyst, hydrogen}",5.46926002804843,0.2945532060540174,747.338442560262
1040,3,AR4,1.1562177284678998,9158,"{reaction, catalyst, hydrogen}",5.46926002804843,0.2114029544286392,747.338442560262
1041,1,AR4,1.69353064105578,9213,"{adapt, capac, local}",8.34158382814568,0.20302267242601685,419.312075769908
1042,2,AR4,5.2727103016279,9213,"{adapt, capac, local}",8.34158382814568,0.6320994202368418,419.312075769908
1043,3,AR4,1.375342885462,9213,"{adapt, capac, local}",8.34158382814568,0.16487790733714133,419.312075769908
1044,1,AR4,3.60049665163163,9165,"{river, basin, discharg}",12.382689528634375,0.2907685477622333,705.265636863244
1045,2,AR4,8.67174036375539,9165,"{river, basin, discharg}",12.382689528634375,0.7003115392421337,705.265636863244
1046,3,AR4,0.110452513247355,9165,"{river, basin, discharg}",12.382689528634375,0.008919912995633047,705.265636863244
1047,1,AR4,17.3744203622374,9209,"{temperatur, air, mean}",31.698526041786227,0.5481144561527488,1444.87552437528
1048,2,AR4,13.448302194274303,9209,"{temperatur, air, mean}",31.698526041786227,0.4242563889736144,1444.87552437528
1049,3,AR4,0.8758034852745201,9209,"{temperatur, air, mean}",31.698526041786227,0.027629154873636774,1444.87552437528
1050,1,AR4,3.95483178014888,9163,"{elev, leaf, ambient}",10.485886182828468,0.377157610829808,898.4604430912559
1051,2,AR4,5.95040700839376,9163,"{elev, leaf, ambient}",10.485886182828468,0.5674682048464401,898.4604430912559
1052,3,AR4,0.580647394285827,9163,"{elev, leaf, ambient}",10.485886182828468,0.05537418432375193,898.4604430912559
1053,1,AR4,5.6784526004324505,9217,"{flux, measur, net}",9.271954887154141,0.6124331567121494,568.866694304385
1054,2,AR4,2.67722793236944,9217,"{flux, measur, net}",9.271954887154141,0.2887447107921776,568.866694304385
1055,3,AR4,0.916274354352249,9217,"{flux, measur, net}",9.271954887154141,0.09882213249567298,568.866694304385
1056,1,AR4,10.8002482185411,9160,"{event, extrem, weather}",20.78281218734494,0.5196721271973762,719.734256238804
1057,2,AR4,9.438714388302788,9160,"{event, extrem, weather}",20.78281218734494,0.4541596345681363,719.734256238804
1058,3,AR4,0.543849580501052,9160,"{event, extrem, weather}",20.78281218734494,0.026168238234487468,719.734256238804
1059,1,AR4,8.04714194965358,9208,"{emiss, reduct, reduc}",23.43668795119721,0.34335661960471303,1217.00384947821
1060,2,AR4,5.226873649698531,9208,"{emiss, reduct, reduc}",23.43668795119721,0.22302100282183976,1217.00384947821
1061,3,AR4,10.1626723518451,9208,"{emiss, reduct, reduc}",23.43668795119721,0.4336223775734473,1217.00384947821
1062,1,AR4,12.877187706463197,9156,"{concentr, atmospher, ppm}",22.128082628732763,0.5819387030732837,868.648834728173
1063,2,AR4,6.70964068844509,9156,"{concentr, atmospher, ppm}",22.128082628732763,0.30321834932651553,868.648834728173
1064,3,AR4,2.5412542338244704,9156,"{concentr, atmospher, ppm}",22.128082628732763,0.11484294760020082,868.648834728173
1065,1,AR4,1.12141772273642,9215,"{power, generat, nuclear}",5.03226374376252,0.22284557802170346,475.06067768516505
1066,2,AR4,1.2940006016207,9215,"{power, generat, nuclear}",5.03226374376252,0.257140854992867,475.06067768516505
1067,3,AR4,2.6168454194054,9215,"{power, generat, nuclear}",5.03226374376252,0.5200135669854297,475.06067768516505
1068,1,AR4,5.6729914881062005,9164,"{china, monsoon, chines}",8.925975840431319,0.6355598076357859,520.983636665243
1069,2,AR4,2.76458834558881,9164,"{china, monsoon, chines}",8.925975840431319,0.3097239332719526,520.983636665243
1070,3,AR4,0.488396006736305,9164,"{china, monsoon, chines}",8.925975840431319,0.05471625909226133,520.983636665243
1071,1,AR4,3.62830397115464,9214,"{ecosystem, function, ecolog}",13.332932138461812,0.2721309861533001,738.886292844124
1072,2,AR4,8.54831705535379,9214,"{ecosystem, function, ecolog}",13.332932138461812,0.6411430708999311,738.886292844124
1073,3,AR4,1.1563111119533798,9214,"{ecosystem, function, ecolog}",13.332932138461812,0.08672594294676884,738.886292844124
1074,1,AR4,2.07812856211179,9168,"{biomass, root, aboveground}",6.68104016337459,0.3110486557922634,595.8731385593351
1075,2,AR4,3.45097812140367,9168,"{biomass, root, aboveground}",6.68104016337459,0.5165330602743424,595.8731385593351
1076,3,AR4,1.15193347985913,9168,"{biomass, root, aboveground}",6.68104016337459,0.17241828393339412,595.8731385593351
1077,1,AR4,8.48073796243256,9218,"{carbon, dioxid, sequestr}",21.3005148240637,0.3981470885788952,1125.98978980338
1078,2,AR4,6.33758812785787,9218,"{carbon, dioxid, sequestr}",21.3005148240637,0.2975321573306832,1125.98978980338
1079,3,AR4,6.4821887337732695,9218,"{carbon, dioxid, sequestr}",21.3005148240637,0.3043207540904216,1125.98978980338
1080,1,AR4,3.897437652192,9167,"{soil, moistur, microbi}",12.978423273043372,0.3003013209075336,1458.1758268853303
1081,2,AR4,5.688274426375152,9167,"{soil, moistur, microbi}",12.978423273043372,0.4382870173597968,1458.1758268853303
1082,3,AR4,3.39271119447622,9167,"{soil, moistur, microbi}",12.978423273043372,0.26141166173266955,1458.1758268853303
